Germline cut rate,Embryo cut rate,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0,0,1000,0,0.100292,0.200584
0,0,1000,0,0.100254,0.200508
0,0,1000,0,0.100022,0.200043
0,0,1000,0,0.0998179,0.199636
0,0,1000,0,0.100102,0.200203
0,0,1000,0,0.0996739,0.199348
0,0,1000,0,0.100427,0.200855
0,0,1000,0,0.0994336,0.198867
0,0,1000,0,0.100108,0.200216
0,0,1000,0,0.0998602,0.19972
0,0.02,1000,0,0.100217,0.200435
0,0.02,1000,0,0.100658,0.201316
0,0.02,1000,0,0.0995738,0.199148
0,0.02,1000,0,0.100163,0.200325
0,0.02,1000,0,0.10025,0.2005
0,0.02,1000,0,0.100388,0.200776
0,0.02,1000,0,0.100047,0.200094
0,0.02,1000,0,0.0999808,0.199962
0,0.02,1000,0,0.100375,0.20075
0,0.02,1000,0,0.0998403,0.199681
0,0.04,1000,0,0.100153,0.200306
0,0.04,1000,0,0.099932,0.199864
0,0.04,1000,0,0.0996151,0.19923
0,0.04,1000,0,0.0992465,0.198493
0,0.04,1000,0,0.10024,0.20048
0,0.04,1000,0,0.0999504,0.199901
0,0.04,1000,0,0.100083,0.200167
0,0.04,1000,0,0.100162,0.200324
0,0.04,1000,0,0.0997582,0.199516
0,0.04,1000,0,0.100252,0.200504
0,0.06,1000,0,0.0999105,0.199821
0,0.06,1000,0,0.100523,0.201045
0,0.06,1000,0,0.0995231,0.199046
0,0.06,1000,0,0.100385,0.200769
0,0.06,1000,0,0.0996866,0.199373
0,0.06,1000,0,0.0993822,0.198764
0,0.06,1000,0,0.100082,0.200163
0,0.06,1000,0,0.0998108,0.199622
0,0.06,1000,0,0.0994708,0.198942
0,0.06,1000,0,0.0999872,0.199974
0,0.08,1000,0,0.100195,0.20039
0,0.08,1000,0,0.100173,0.200346
0,0.08,1000,0,0.100205,0.20041
0,0.08,1000,0,0.099398,0.198796
0,0.08,1000,0,0.0995548,0.19911
0,0.08,1000,0,0.0992449,0.19849
0,0.08,1000,0,0.100434,0.200868
0,0.08,1000,0,0.0997271,0.199454
0,0.08,1000,0,0.0994289,0.198858
0,0.08,1000,0,0.100924,0.201847
0,0.1,1000,0,0.100087,0.200175
0,0.1,1000,0,0.099944,0.199888
0,0.1,1000,0,0.0998139,0.199628
0,0.1,1000,0,0.100454,0.200908
0,0.1,1000,0,0.0998235,0.199647
0,0.1,1000,0,0.0997916,0.199583
0,0.1,1000,0,0.100379,0.200758
0,0.1,1000,0,0.0998315,0.199663
0,0.1,1000,0,0.100265,0.200529
0,0.1,1000,0,0.0996707,0.199341
0,0.12,1000,0,0.10009,0.200179
0,0.12,1000,0,0.0998419,0.199684
0,0.12,1000,0,0.0996699,0.19934
0,0.12,1000,0,0.10022,0.200441
0,0.12,1000,0,0.100469,0.200939
0,0.12,1000,0,0.0998881,0.199776
0,0.12,1000,0,0.0999824,0.199965
0,0.12,1000,0,0.0997709,0.199542
0,0.12,1000,0,0.0997813,0.199563
0,0.12,1000,0,0.100119,0.200237
0,0.14,1000,0,0.0997208,0.199442
0,0.14,1000,0,0.100295,0.200591
0,0.14,1000,0,0.09965,0.1993
0,0.14,1000,0,0.0997359,0.199472
0,0.14,1000,0,0.100117,0.200234
0,0.14,1000,0,0.100789,0.201577
0,0.14,1000,0,0.0997112,0.199422
0,0.14,1000,0,0.100255,0.20051
0,0.14,1000,0,0.100685,0.201369
0,0.14,1000,0,0.0999576,0.199915
0,0.16,1000,0,0.0992048,0.19841
0,0.16,1000,0,0.0998243,0.199649
0,0.16,1000,0,0.0997009,0.199402
0,0.16,1000,0,0.100127,0.200253
0,0.16,1000,0,0.100604,0.201209
0,0.16,1000,0,0.100119,0.200237
0,0.16,1000,0,0.100034,0.200067
0,0.16,1000,0,0.100099,0.200199
0,0.16,1000,0,0.100033,0.200066
0,0.16,1000,0,0.0994392,0.198878
0,0.18,1000,0,0.10029,0.200579
0,0.18,1000,0,0.0999137,0.199827
0,0.18,1000,0,0.0996469,0.199294
0,0.18,1000,0,0.100044,0.200088
0,0.18,1000,0,0.10034,0.200679
0,0.18,1000,0,0.100603,0.201206
0,0.18,1000,0,0.100352,0.200705
0,0.18,1000,0,0.10037,0.20074
0,0.18,1000,0,0.0995992,0.199198
0,0.18,1000,0,0.0994479,0.198896
0,0.2,1000,0,0.100392,0.200784
0,0.2,1000,0,0.0998849,0.19977
0,0.2,1000,0,0.10016,0.200321
0,0.2,1000,0,0.10005,0.200099
0,0.2,1000,0,0.100426,0.200852
0,0.2,1000,0,0.10009,0.200179
0,0.2,1000,0,0.0997327,0.199465
0,0.2,1000,0,0.0998538,0.199708
0,0.2,1000,0,0.10044,0.200881
0,0.2,1000,0,0.0997829,0.199566
0,0.22,1000,0,0.0996119,0.199224
0,0.22,1000,0,0.0997861,0.199572
0,0.22,1000,0,0.10034,0.200681
0,0.22,1000,0,0.100806,0.201613
0,0.22,1000,0,0.100367,0.200734
0,0.22,1000,0,0.0997415,0.199483
0,0.22,1000,0,0.0995968,0.199194
0,0.22,1000,0,0.100474,0.200948
0,0.22,1000,0,0.0996739,0.199348
0,0.22,1000,0,0.100427,0.200853
0,0.24,1000,0,0.100444,0.200887
0,0.24,1000,0,0.100004,0.200008
0,0.24,1000,0,0.100105,0.20021
0,0.24,1000,0,0.100046,0.200091
0,0.24,1000,0,0.0995794,0.199159
0,0.24,1000,0,0.0995175,0.199035
0,0.24,1000,0,0.0993799,0.19876
0,0.24,1000,0,0.10042,0.20084
0,0.24,1000,0,0.100409,0.200818
0,0.24,1000,0,0.100043,0.200086
0,0.26,1000,0,0.0997877,0.199575
0,0.26,1000,0,0.0999896,0.199979
0,0.26,1000,0,0.0994621,0.198924
0,0.26,1000,0,0.0995873,0.199175
0,0.26,1000,0,0.0996381,0.199276
0,0.26,1000,0,0.100409,0.200818
0,0.26,1000,0,0.100465,0.200931
0,0.26,1000,0,0.100079,0.200159
0,0.26,1000,0,0.100559,0.201118
0,0.26,1000,0,0.0999784,0.199957
0,0.28,1000,0,0.100049,0.200098
0,0.28,1000,0,0.100263,0.200526
0,0.28,1000,0,0.099581,0.199162
0,0.28,1000,0,0.100514,0.201028
0,0.28,1000,0,0.0994922,0.198984
0,0.28,1000,0,0.0999289,0.199858
0,0.28,1000,0,0.100444,0.200887
0,0.28,1000,0,0.0995049,0.19901
0,0.28,1000,0,0.0996381,0.199276
0,0.28,1000,0,0.10032,0.20064
0,0.3,1000,0,0.100014,0.200029
0,0.3,1000,0,0.100227,0.200454
0,0.3,1000,0,0.0996651,0.19933
0,0.3,1000,0,0.100623,0.201246
0,0.3,1000,0,0.0998682,0.199736
0,0.3,1000,0,0.100051,0.200102
0,0.3,1000,0,0.100035,0.20007
0,0.3,1000,0,0.10039,0.200779
0,0.3,1000,0,0.0996977,0.199395
0,0.3,1000,0,0.100066,0.200133
0,0.32,1000,0,0.0991945,0.198389
0,0.32,1000,0,0.0998857,0.199771
0,0.32,1000,0,0.100358,0.200716
0,0.32,1000,0,0.0993988,0.198798
0,0.32,1000,0,0.100442,0.200884
0,0.32,1000,0,0.100235,0.20047
0,0.32,1000,0,0.0999944,0.199989
0,0.32,1000,0,0.100001,0.200002
0,0.32,1000,0,0.100641,0.201282
0,0.32,1000,0,0.099747,0.199494
0,0.34,1000,0,0.100235,0.20047
0,0.34,1000,0,0.0997884,0.199577
0,0.34,1000,0,0.0996413,0.199283
0,0.34,1000,0,0.0997558,0.199512
0,0.34,1000,0,0.0997773,0.199555
0,0.34,1000,0,0.0998028,0.199606
0,0.34,1000,0,0.0999864,0.199973
0,0.34,1000,0,0.0999792,0.199958
0,0.34,1000,0,0.100121,0.200242
0,0.34,1000,0,0.100018,0.200035
0,0.36,1000,0,0.0995635,0.199127
0,0.36,1000,0,0.100761,0.201522
0,0.36,1000,100,0.109705,0.207735
0,0.36,1000,0,0.100385,0.200769
0,0.36,1000,100,0.11745,0.221676
0,0.36,1000,0,0.0997033,0.199407
0,0.36,1000,0,0.100054,0.200107
0,0.36,1000,0,0.100384,0.200768
0,0.36,1000,0,0.0997566,0.199513
0,0.36,1000,0,0.100084,0.200168
0,0.38,1000,100,0.136637,0.25544
0,0.38,1000,100,0.20134,0.364258
0,0.38,1000,100,0.28966,0.501624
0,0.38,1000,0,0.100022,0.200045
0,0.38,1000,100,0.245693,0.43484
0,0.38,1000,100,0.182259,0.333347
0,0.38,1000,100,0.375599,0.620133
0,0.38,1000,100,0.380626,0.62482
0,0.38,1000,0,0.0998969,0.199794
0,0.38,1000,100,0.253195,0.446713
0,0.4,99,100,0.848973,0.994272
0,0.4,1000,100,0.504465,0.772688
0,0.4,1000,100,0.579528,0.845029
0,0.4,1000,100,0.184644,0.336635
0,0.4,1000,100,0.67674,0.920396
0,0.4,1000,100,0.781814,0.975425
0,0.4,96,100,0.890005,0.998987
0,0.4,1000,100,0.517532,0.784206
0,0.4,1000,100,0.697849,0.935449
0,0.4,1000,100,0.685618,0.926663
0,0.42,94,100,0.907086,0.999638
0,0.42,100,100,0.827065,0.990264
0,0.42,97,100,0.879441,0.998043
0,0.42,95,100,0.90114,0.999358
0,0.42,92,100,0.91493,0.999852
0,0.42,98,100,0.866986,0.997301
0,0.42,1000,100,0.786364,0.977617
0,0.42,79,92,0.937544,1
0,0.42,96,100,0.886662,0.998648
0,0.42,1000,100,0.518671,0.787038
0,0.44,80,93,0.935062,1
0,0.44,87,97,0.925508,0.999968
0,0.44,82,91,0.922445,1
0,0.44,80,91,0.929277,1
0,0.44,82,94,0.934616,1
0,0.44,80,93,0.933444,1
